Name,Source,Year,Continent,Country
53438,Human,2018,Asia,Lebanon
A10,Companion Animal,2017,Europe,France
AA23,Companion Animal,2017,Europe,France
AA25,Companion Animal,2017,Europe,France
B09,Companion Animal,2017,Europe,France
CHOG5,Human,ND,South America,French Guiana
CVAST0125,Companion Animal,2014,North America,United States
CVAST0688,Companion Animal,2015,North America,United States
CVAST1048,Companion Animal,2015,North America,United States
CVAST1624,Companion Animal,2015,North America,United States
CVAST2561,Human,2016,North America,United States
DRR102837,Human,2015,Asia,Japan
E05,Companion Animal,2017,Europe,France
ERR3328344,Wild Animal,2016,Africa,Kenya
ERR3330197,Wild Animal,2015,Africa,Kenya
ERR3330558,Human,2016,Africa,Kenya
ERR4254378,Livestock,1980,Europe,Czechia
F02,Companion Animal,2017,Europe,France
FG24,Human,ND,Africa,Reunion
I53,Companion Animal,2017,Europe,France
J02,Companion Animal,2017,Europe,France
J25,Companion Animal,2017,Europe,France
M17,Companion Animal,2017,Europe,France
M27,Companion Animal,2017,Europe,France
MVAST0896,Human,2012,North America,United States
MVAST2235,Human,2014,North America,United States
MVAST2992,Human,2015,North America,United States
MVAST3050,Human,2015,North America,United States
MVAST4250,Human,2016,North America,United States
MVAST4923,Human,2017,North America,United States
MVAST5048,Human,2017,North America,United States
MVAST5424,Human,2017,North America,United States
MVAST5551,Human,2017,North America,United States
MVAST5844,Human,2018,North America,United States
MVAST6003,Human,2018,North America,United States
MVAST6197,Human,2018,North America,United States
MVAST6277,Human,2018,North America,United States
MVAST6306,Human,2018,North America,United States
MVAST6321,Human,2018,North America,United States
MVAST6379,Human,2018,North America,United States
MVAST6578,Human,2018,North America,United States
MVAST6839,Human,2019,North America,United States
MVAST6902,Human,2019,North America,United States
MVAST6977,Human,2019,North America,United States
MVAST7143,Human,2019,North America,United States
MVAST7265,Human,2019,North America,United States
MVAST7341,Human,2019,North America,United States
MVC107,Companion Animal,2009,Oceania,Australia
MVC108,Companion Animal,2009,Oceania,Australia
MVC121,Companion Animal,2010,Oceania,Australia
MVC136,Companion Animal,2010,Oceania,Australia
MVC138,Companion Animal,2010,Oceania,Australia
MVC152,Companion Animal,2009,Oceania,Australia
MVC166,Companion Animal,2010,Oceania,Australia
MVC18,Companion Animal,2008,Oceania,Australia
MVC20,Companion Animal,2008,Oceania,Australia
MVC206,Companion Animal,2011,Oceania,Australia
MVC214,Companion Animal,2011,Oceania,Australia
MVC234,Companion Animal,2011,Oceania,Australia
MVC252,Companion Animal,2011,Oceania,Australia
MVC262,Companion Animal,2011,Oceania,Australia
MVC266,Companion Animal,2012,Oceania,Australia
MVC27,Companion Animal,2009,Oceania,Australia
MVC272,Companion Animal,2012,Oceania,Australia
MVC286,Companion Animal,2012,Oceania,Australia
MVC29,Companion Animal,2009,Oceania,Australia
MVC30,Companion Animal,2009,Oceania,Australia
MVC304,Companion Animal,2012,Oceania,Australia
MVC309,Companion Animal,2012,Oceania,Australia
MVC31,Companion Animal,2009,Oceania,Australia
MVC324,Companion Animal,2012,Oceania,Australia
MVC327,Companion Animal,2013,Oceania,Australia
MVC374,Companion Animal,2013,Oceania,Australia
MVC378_P5,Companion Animal,2013,Oceania,Australia
MVC380,Companion Animal,2013,Oceania,Australia
MVC387,Companion Animal,2013,Oceania,Australia
MVC390,Companion Animal,2013,Oceania,Australia
MVC401,Companion Animal,2013,Oceania,Australia
MVC414,Companion Animal,2013,Oceania,Australia
MVC416,Companion Animal,2013,Oceania,Australia
MVC422,Companion Animal,2014,Oceania,Australia
MVC426,Companion Animal,2014,Oceania,Australia
MVC434,Companion Animal,2014,Oceania,Australia
MVC437,Companion Animal,2014,Oceania,Australia
MVC439,Companion Animal,2014,Oceania,Australia
MVC450,Companion Animal,2014,Oceania,Australia
MVC460,Companion Animal,2014,Oceania,Australia
MVC48,Companion Animal,2009,Oceania,Australia
MVC494,Companion Animal,2014,Oceania,Australia
MVC499,Companion Animal,2015,Oceania,Australia
MVC507,Companion Animal,2015,Oceania,Australia
MVC515,Companion Animal,2015,Oceania,Australia
MVC520,Companion Animal,2015,Oceania,Australia
MVC539,Companion Animal,2015,Oceania,Australia
MVC542,Companion Animal,2015,Oceania,Australia
MVC549,Companion Animal,2015,Oceania,Australia
MVC552,Companion Animal,2015,Oceania,Australia
MVC586,Companion Animal,2016,Oceania,Australia
MVC60,Companion Animal,2009,Oceania,Australia
MVC61,Companion Animal,2009,Oceania,Australia
MVC628,Companion Animal,2016,Oceania,Australia
MVC629,Companion Animal,2016,Oceania,Australia
MVC63,Companion Animal,2009,Oceania,Australia
MVC657,Companion Animal,2016,Oceania,Australia
MVC660,Companion Animal,2016,Oceania,Australia
MVC661,Companion Animal,2016,Oceania,Australia
MVC674,Companion Animal,2016,Oceania,Australia
MVC682,Companion Animal,2017,Oceania,Australia
MVC745,Companion Animal,2017,Oceania,Australia
MVC773,Companion Animal,2017,Oceania,Australia
MVC780,Companion Animal,2017,Oceania,Australia
MVC799,Companion Animal,2007,Oceania,Australia
MVC93,Companion Animal,2009,Oceania,Australia
MVC94,Companion Animal,2009,Oceania,Australia
MVC95,Companion Animal,2009,Oceania,Australia
SD_11_H9,Wild Animal,2019,Oceania,Australia
SD_3_A6,Wild Animal,2019,Oceania,Australia
SD_3_B6,Wild Animal,2019,Oceania,Australia
SD_3_B9,Wild Animal,2019,Oceania,Australia
SD_3_C4,Wild Animal,2019,Oceania,Australia
SD_3_C5,Wild Animal,2019,Oceania,Australia
SD_3_E5,Wild Animal,2019,Oceania,Australia
SD_3_H4,Wild Animal,2019,Oceania,Australia
SRR10094650,Companion Animal,2019,North America,United States
SRR10094673,Companion Animal,2019,North America,United States
SRR10095182,Companion Animal,2019,North America,United States
SRR10095184,Companion Animal,2019,North America,United States
SRR10126810,Human,2017,Oceania,Australia
SRR10126812,Human,2017,Oceania,Australia
SRR10211824,Companion Animal,2019,North America,United States
SRR10230814,Companion Animal,2013,Europe,Spain
SRR10230841,Companion Animal,2014,Europe,Poland
SRR10230876,Companion Animal,2013,Europe,Spain
SRR10257977,Companion Animal,2019,North America,United States
SRR10258156,Companion Animal,2019,North America,United States
SRR10258181,Companion Animal,2019,North America,United States
SRR10302014,Companion Animal,2019,North America,United States
SRR10302027,Companion Animal,2019,North America,United States
SRR10384563,Companion Animal,2019,North America,United States
SRR10384590,Companion Animal,2019,North America,United States
SRR10429302,Companion Animal,2019,North America,United States
SRR10502041,Companion Animal,2019,North America,United States
SRR10535885,Companion Animal,2019,North America,United States
SRR10559650,Companion Animal,2019,North America,United States
SRR10568449,Human,2017,Europe,Belgium
SRR10597531,Companion Animal,2013,North America,United States
SRR10597532,Companion Animal,2013,North America,United States
SRR10597533,Companion Animal,2013,North America,United States
SRR10814974,Companion Animal,2019,North America,United States
SRR10823741,Companion Animal,2019,North America,United States
SRR10947173,Companion Animal,2019,North America,United States
SRR10947454,Companion Animal,2019,North America,United States
SRR10947527,Companion Animal,2019,North America,United States
SRR10947559,Companion Animal,2019,North America,United States
SRR10948370,Environment,2019,North America,United States
SRR10963348,Companion Animal,2019,North America,N/A
SRR10996852,Companion Animal,2019,North America,United States
SRR10996857,Companion Animal,2019,North America,United States
SRR10996858,Companion Animal,2019,North America,United States
SRR11029655,Companion Animal,2019,North America,United States
SRR11029832,Companion Animal,2019,North America,United States
SRR11029834,Companion Animal,2019,North America,United States
SRR11029841,Companion Animal,2019,North America,United States
SRR11043404,Wild Animal,2019,North America,United States
SRR11043405,Companion Animal,2019,North America,N/A
SRR11080856,Companion Animal,2019,North America,United States
SRR11080859,Companion Animal,2019,North America,United States
SRR11080867,Companion Animal,2019,North America,United States
SRR11080869,Companion Animal,2019,North America,United States
SRR11080870,Companion Animal,2019,North America,United States
SRR11101126,Companion Animal,2019,North America,United States
SRR11101175,Companion Animal,2019,North America,United States
SRR11101177,Companion Animal,2019,North America,United States
SRR11101199,Companion Animal,2019,North America,United States
SRR11101255,Companion Animal,2019,North America,United States
SRR11101259,Companion Animal,2019,North America,United States
SRR11101262,Companion Animal,2019,North America,United States
SRR11187237,Environment,2019,North America,United States
SRR11251331,Environment,2019,North America,United States
SRR11266544,Companion Animal,2019,North America,United States
SRR11319477,Companion Animal,2019,North America,United States
SRR11319479,Companion Animal,2019,North America,United States
SRR11319482,Companion Animal,2019,North America,United States
SRR11319492,Companion Animal,2019,North America,United States
SRR11319494,Companion Animal,2019,North America,United States
SRR11449852,Companion Animal,2019,North America,United States
SRR11451393,Companion Animal,2019,North America,N/A
SRR11451396,Companion Animal,2019,North America,United States
SRR11454228,Companion Animal,2010,Europe,Germany
SRR11484486,Companion Animal,2008,North America,United States
SRR11484529,Companion Animal,2007,North America,United States
SRR11484681,Companion Animal,1985,North America,United States
SRR11487804,Companion Animal,2019,North America,United States
SRR11487832,Companion Animal,2019,North America,United States
SRR11487861,Companion Animal,2019,North America,United States
SRR11495793,Human,2006,Oceania,Australia
SRR11561239,Companion Animal,2019,North America,United States
SRR11612991,Wild Animal,2017,Oceania,Australia
SRR11658535,Livestock,2017,Oceania,Australia
SRR11658586,Livestock,2017,Oceania,Australia
SRR11668362,Companion Animal,2013,Europe,Spain
SRR11668363,Companion Animal,2013,Europe,Spain
SRR11668364,Companion Animal,2013,Europe,Spain
SRR11668365,Companion Animal,2013,Europe,Spain
SRR11668366,Companion Animal,2017,Europe,Spain
SRR11668367,Companion Animal,2017,Europe,Spain
SRR11668368,Companion Animal,2017,Europe,Spain
SRR11668369,Companion Animal,2017,Europe,Spain
SRR11668370,Companion Animal,2017,Europe,Spain
SRR11668371,Companion Animal,2017,Europe,Spain
SRR11668372,Companion Animal,2017,Europe,Spain
SRR11668373,Companion Animal,2017,Europe,Spain
SRR11668374,Companion Animal,2017,Europe,Spain
SRR11668375,Companion Animal,2017,Europe,Spain
SRR11668376,Companion Animal,2016,Europe,Spain
SRR11668377,Companion Animal,2016,Europe,Spain
SRR11668378,Companion Animal,2013,Europe,Spain
SRR11668379,Companion Animal,2013,Europe,Spain
SRR11668380,Companion Animal,2013,Europe,Spain
SRR11668381,Companion Animal,2013,Europe,Spain
SRR11668382,Companion Animal,2013,Europe,Spain
SRR11668383,Human,2016,Europe,France
SRR11668384,Human,2016,Europe,Spain
SRR11783247,Companion Animal,2019,North America,United States
SRR11783249,Companion Animal,2019,North America,United States
SRR11783284,Companion Animal,2019,North America,United States
SRR11871288,Human,2016,Europe,Netherlands
SRR11892809,Companion Animal,2019,North America,Canada
SRR11892810,Companion Animal,2019,North America,Canada
SRR11892812,Companion Animal,2019,North America,Canada
SRR11892815,Companion Animal,2019,North America,Canada
SRR11892828,Companion Animal,2019,North America,Canada
SRR11892829,Companion Animal,2019,North America,Canada
SRR11892848,Companion Animal,2019,North America,Canada
SRR11892864,Companion Animal,2019,North America,Canada
SRR11892866,Companion Animal,2019,North America,Canada
SRR11997338,Companion Animal,2019,North America,Canada
SRR12017858,Companion Animal,2019,North America,United States
SRR12017880,Companion Animal,2019,North America,United States
SRR12056274,Human,2004,North America,United States
SRR12075376,Companion Animal,2020,North America,United States
SRR12272109,Companion Animal,2020,North America,United States
SRR12377545,Companion Animal,2020,North America,United States
SRR12378058,Companion Animal,2020,North America,United States
SRR12387678,Companion Animal,2020,North America,United States
SRR12387684,Companion Animal,2020,North America,United States
SRR12395469,Companion Animal,2019,North America,United States
SRR12395471,Companion Animal,2019,North America,United States
SRR12424844,Human,2019,North America,United States
SRR12424849,Human,2019,North America,United States
SRR12424856,Human,2019,North America,United States
SRR12509139,Human,2016,North America,United States
SRR12584078,Human,2019,North America,United States
SRR12663939,Environment,2020,North America,United States
SRR12699128,Companion Animal,2019,North America,United States
SRR12699139,Companion Animal,2019,North America,United States
SRR12733261,Companion Animal,2020,North America,United States
SRR12736111,Companion Animal,2020,North America,United States
SRR12744005,Companion Animal,2019,North America,Canada
SRR12744007,Companion Animal,2019,North America,Canada
SRR12744011,Companion Animal,2019,North America,Canada
SRR12744016,Companion Animal,2019,North America,Canada
SRR12744020,Companion Animal,2019,North America,Canada
SRR12744024,Companion Animal,2019,North America,Canada
SRR12744027,Companion Animal,2019,North America,Canada
SRR12744028,Companion Animal,2019,North America,Canada
SRR12744031,Companion Animal,2019,North America,Canada
SRR12744032,Companion Animal,2019,North America,Canada
SRR12744034,Companion Animal,2019,North America,Canada
SRR12744053,Companion Animal,2019,North America,Canada
SRR12744054,Companion Animal,2019,North America,Canada
SRR12744061,Companion Animal,2019,North America,Canada
SRR12744063,Companion Animal,2019,North America,Canada
SRR12744066,Companion Animal,2019,North America,Canada
SRR12744070,Companion Animal,2019,North America,Canada
SRR12744071,Companion Animal,2019,North America,Canada
SRR12744076,Companion Animal,2019,North America,Canada
SRR12744080,Companion Animal,2019,North America,Canada
SRR12764110,Human,2019,North America,United States
SRR12825270,Companion Animal,2020,North America,United States
SRR12825272,Companion Animal,2020,North America,United States
SRR12845309,Companion Animal,2020,North America,United States
SRR12845405,Companion Animal,2020,North America,United States
SRR12845592,Companion Animal,2020,North America,United States
SRR12845610,Companion Animal,2020,North America,United States
SRR12849895,Companion Animal,2019,North America,United States
SRR12849898,Companion Animal,2019,North America,United States
SRR12898999,Companion Animal,2020,North America,United States
SRR12955958,Companion Animal,2020,North America,United States
SRR12991184,Companion Animal,2020,North America,United States
SRR12991185,Companion Animal,2020,North America,United States
SRR1314313,Human,2011,North America,United States
SRR1314405,Human,2011,North America,United States
SRR1314466,Human,2011,North America,United States
SRR1314585,Human,2011,North America,United States
SRR3050915,Human,2010,Europe,United Kingdom
SRR3050925,Human,2010,Europe,United Kingdom
SRR3051033,Human,2009,Europe,United Kingdom
SRR3578293,Human,2015,Europe,United Kingdom
SRR3578599,Human,2015,Europe,United Kingdom
SRR3578921,Human,2015,Europe,United Kingdom
SRR3579371,Human,2013,Europe,United Kingdom
SRR4897731,Human,2015,Europe,United Kingdom
SRR5006336,Human,2015,Europe,United Kingdom
SRR5017547,Human,2015,Europe,United Kingdom
SRR5306026,Human,2015,North America,United States
SRR5642062,Human,2013,North America,United States
SRR6160438,Companion Animal,2017,North America,United States
SRR6376578,Wild Animal,2016,North America,United States
SRR6724063,Companion Animal,2016,Europe,Germany
SRR6742565,Companion Animal,2017,North America,United States
SRR6875375,Companion Animal,2017,North America,United States
SRR7064471,Environment,2000,North America,United States
SRR7064554,Environment,2000,North America,United States
SRR7251021,Human,2015,Europe,United Kingdom
SRR7296758,Human,2017,North America,United States
SRR7304399,Human,1996,North America,United States
SRR7304400,Human,1998,North America,United States
SRR7304401,Human,1998,North America,United States
SRR7500732,Environment,2000,North America,United States
SRR7521740,Companion Animal,2017,North America,Canada
SRR7588681,Human,2018,Europe,United Kingdom
SRR7638091,Companion Animal,2018,North America,United States
SRR7659844,Companion Animal,2016,North America,United States
SRR7660838,Companion Animal,2016,North America,United States
SRR7690507,Livestock,1982,North America,United States
SRR7690633,Livestock,1982,North America,United States
SRR7765064,Companion Animal,2018,North America,United States
SRR7788220,Aquatic Animal,2016,North America,United States
SRR7788223,Aquatic Animal,2016,North America,United States
SRR7788246,Aquatic Animal,2016,North America,United States
SRR7788260,Companion Animal,2018,North America,United States
SRR7788266,Companion Animal,2018,North America,United States
SRR7799230,Companion Animal,2018,North America,United States
SRR784241,Human,2004,Europe,Denmark
SRR7853506,Companion Animal,2018,North America,United States
SRR7889221,Environment,2003,North America,United States
SRR7904907,Environment,2004,North America,United States
SRR7967826,Human,2013,Oceania,Australia
SRR800432,Human,2003,Europe,Denmark
SRR8062190,Companion Animal,2018,North America,United States
SRR8084429,Companion Animal,2018,North America,United States
SRR8099014,Companion Animal,2018,North America,United States
SRR8099021,Companion Animal,2018,North America,United States
SRR8176779,Companion Animal,2018,North America,United States
SRR8206988,Companion Animal,2018,North America,Canada
SRR8207013,Companion Animal,2018,North America,United States
SRR8216447,Companion Animal,2018,North America,United States
SRR8236051,Companion Animal,2018,North America,United States
SRR8236058,Companion Animal,2018,North America,United States
SRR8258291,Companion Animal,2018,North America,United States
SRR8297456,Companion Animal,2018,North America,United States
SRR8397437,Companion Animal,2018,North America,United States
SRR8526932,Companion Animal,2018,North America,United States
SRR8541299,Human,2013,North America,Canada
SRR8541385,Human,2013,North America,Canada
SRR8544057,Companion Animal,2018,North America,United States
SRR8632524,Companion Animal,2018,North America,United States
SRR8632526,Companion Animal,2018,North America,United States
SRR8632533,Companion Animal,2018,North America,United States
SRR8632714,Companion Animal,2018,North America,United States
SRR8728078,Companion Animal,2018,North America,United States
SRR8728083,Companion Animal,2018,North America,United States
SRR8728085,Companion Animal,2018,North America,United States
SRR8728086,Companion Animal,2018,North America,United States
SRR8728096,Companion Animal,2018,North America,United States
SRR8737952,Environment,2017,Europe,Germany
SRR8738079,Environment,2017,Europe,Germany
SRR8738211,Environment,2016,Europe,Germany
SRR8738218,Environment,2016,Europe,Germany
SRR8767331,Companion Animal,2018,North America,United States
SRR8776507,Companion Animal,2017,Europe,Italy
SRR8776709,Companion Animal,2017,Europe,Italy
SRR8861527,Companion Animal,2018,North America,United States
SRR8868738,Companion Animal,2018,North America,Canada
SRR8868859,Companion Animal,2018,North America,United States
SRR8926896,Companion Animal,2018,North America,United States
SRR9016900,Companion Animal,2018,North America,United States
SRR9016923,Companion Animal,2018,North America,United States
SRR9029425,Companion Animal,2018,North America,United States
SRR9029457,Companion Animal,2018,North America,United States
SRR9029549,Companion Animal,2018,North America,United States
SRR9029851,Companion Animal,2018,North America,United States
SRR9051983,Companion Animal,2017,North America,United States
SRR9114555,Companion Animal,2018,North America,United States
SRR9301022,Companion Animal,2018,North America,United States
SRR9301025,Companion Animal,2018,North America,United States
SRR9301057,Companion Animal,2018,North America,United States
SRR9301059,Companion Animal,2018,North America,United States
SRR9302377,Companion Animal,2016,North America,United States
SRR958598,Human,1996,Europe,Sweden
SRR9616063,Human,2017,Europe,France
SRR9617625,Companion Animal,2019,North America,United States
SRR9694239,Companion Animal,2018,North America,United States
SRR9734950,Companion Animal,2019,North America,United States
SRR9831357,Companion Animal,2019,North America,United States
SRR9901263,Companion Animal,2018,North America,United States
SRR9914210,Companion Animal,2005,North America,United States
SRR9984736,Livestock,2018,North America,United States
SRR9995620,Companion Animal,2018,North America,United States
SRR9997955,Companion Animal,2018,North America,United States
SRR9998284,Companion Animal,2018,North America,United States
SRR9998325,Companion Animal,2018,North America,Canada
T10,Companion Animal,2017,Europe,France
U04,Companion Animal,2017,Europe,France
V17,Companion Animal,2017,Europe,France
V43,Companion Animal,2017,Europe,France